legacy_delivery_surface_report_version=1
mode=report
source_files_scanned=3056
built_images_scanned=0
source_contents_emitted=false
rancher_fleet_runtime_policy=prohibited
historical_allowlist_is_runtime_authorization=false
generated_chart=helm_template
generated_cli=go_run
summary scope=active_runtime signature=banned_rancher_fleet files=0 matches=0
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/pdb.yaml matches=13
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/role.yaml matches=14
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/rolebinding.yaml matches=11
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/service.yaml matches=15
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/serviceaccount.yaml matches=10
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/servicemonitor.yaml matches=24
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-applicationset/vpa.yaml matches=15
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/deployment.yaml matches=26
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/metrics.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/networkpolicy.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/service.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-commit-server/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-cm.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-cmd-params-cm.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-cmp-cm.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-dex-server-tls-secret.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-gpg-keys-cm.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-notifications-cm.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-notifications-secret.yaml matches=2
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-rbac-cm.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-repo-server-tls-secret.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-secret.yaml matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-server-tls-secret.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-ssh-known-hosts-cm.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-styles-cm.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/argocd-tls-certs-cm.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/cluster-secrets.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/externalredis-secret.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/repository-credentials-secret.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-configs/repository-secret.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/clusterrole.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/clusterrolebinding.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/deployment.yaml matches=32
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/metrics.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/networkpolicy.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/pdb.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/role.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/rolebinding.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/servicemonitor.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-notifications/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/clusterrole.yaml matches=2
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/clusterrolebinding.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/deployment.yaml matches=115
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/hpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/metrics.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/networkpolicy.yaml matches=9
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/pdb.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/role.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/rolebinding.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/service.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/serviceaccount.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/servicemonitor.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-repo-server/vpa.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/aws/ingress.yaml matches=8
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/aws/service.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/backendtlspolicy.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/certificate.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/clusterrole.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/charts/argo-cd-9.5.21.tgz!/argo-cd/templates/argocd-server/clusterrolebinding.yaml matches=5
